,在「s%」游戏中输了s%颗钻石,DiamondDetailsPage_LoseDiamond,Lose s% Diamonds in the game 「s%」,"Hilang% berlian dalam game ""s%""",ได้แพ้เกม 「s%」 และสูญเสียเพชร s% อัน,Thua s% kim cương trong trò chơi「s%」,Rugi s% berlian dalam permainan「s%」,,,
,「s%」入场消费s%颗钻石,DiamondDetailsPage_Enter,Spend s% Diamonds to enter 「s%」,s% penerimaan masuk% berlian,ใช้เพชร s% เพื่อเข้าเล่นเกม 「s%」,「s%」vào trận tiêu hao s% kim cương,Bayar s% berlian untuk masuk「s%」,,,
,兑换了s%颗钻石,DiamondDetailsPage_Exchange,Exchange s% Diamonds,% Diamond yang ditebus,แลกเพชร s% อัน,Đã đổi s% kim cương,s% berlian ditukar,,,
,商城中兑换商品花费了s%颗钻石,DiamondDetailsPage_SpendInShop,Spend s% Diamonds to exchange goods in the Shop,Butuh% berlian untuk menebus barang di mal.,ใช้เพชรไป s% อัน เพื่อแลกสินค้าในห้างสรรพสินค้า,Dùng s% kim cương đổi vật phẩm trong trung tâm thương mại,Membeli barang di kedai dengan s% berlian,,,
,成功将s%颗钻石提现,DiamondDetailsPage_Withdraw,Withdraw s% Diamonds,Berhasil menarik% berlian,เบิกถอนเพชร s% อันเรียบร้อย,Rút s% kim cương thành công,Berjaya keluarkan s% berlian dalam bentuk tunai,,,
,花费了s%颗钻石兑换金币,DiamondDetailsPage_ExchangeGold,Spend s% Diamonds to exchange Gold Coins,Belanjakan% berlian untuk koin emas,แลกเหรียญทองด้วยเพชร  s% อัน,Dùng s% kim cương đổi tiền xu vàng,s% berlian ditukar menjadi syiling emas ,,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,,
排行榜,竞技PK榜,RankingPage_ArenaRanking,Arena Ranking,PK Atletik,ลีดเดอร์บอร์ดสำหรับสนามรบ,Bảng xếp hạng đấu PK,Ranking Arena PK,,,
,擂台财富榜,RankingPage_FortuneRanking,Fortune Ranking,Daftar Keberuntungan Fujian,ลีดเดอร์บอร์ดสำหรับทรัพย์สิน,Bảng xếp hạng của cải đấu trường,Ranking Kekayaan Arena,,,
,日榜,RankingPage_DailyRanking,Daily Ranking,Daftar harian,ลีดเดอร์บอร์ดประจำวัน,Bảng xếp hạng hàng ngày,Ranking Harian,,,
,周榜,RankingPage_WeeklyRanking,Weekly Ranking,Zhoubang,ลีดเดอร์บอร์ดประจำอาทิตย์,Bảng xếp hàng tuần,Ranking Mingguan,,,
,今日胜点,RankingPage_DailyWinningPoints,Daily Winning Points,Kemenangan hari ini,อัตราการชนะของวันนี้,Số điểm thắng hôm nay,Mata Kememangan Hari Ini,,,
,本周胜点,RankingPage_WeeklyWinningPoints,Weekly Winning Points,Kemenangan minggu ini,อัตราการชนะของอาทิตย์นี้,Số điểm thắng tuần này,Mata Kememangan Minggu Ini,,,
国家列表,全球,CountryList_Gobal,Global,Global,ทั่วโลก,Thế giới,Dunia,,,
,,,,,,,,,,
,,,,,,,,,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,
世界喊话页面,在[s%]连胜3局,WorldCallPage_ExtendedWinning3Games,Extended the winning streak to 3 games in [s%],Dalam [s%] kemenangan beruntun 3 babak,ได้รับชัยชนะ 3 เกมอย่างต่อเนื่องในเกม [s%] ,Thắng liên tiếp 3 trận trong [s%],Menang 3 kali berturut-turut dalam [s%],,
,在[s1%]赛区中日榜排名第[s2%],WorldCallPage_DailyRankingIn,Ranked [s2%] on Daily Ranking in Division [s1%],Peringkat # s2% dalam kompetisi [s1%],เป็นอันดับ [s2%] ในลีดเดอร์บอร์ดประจำวันสำหรับภูมิภาค [s1%],Xếp hạng thứ [s2%] trên bảng xếp hạng ngày khu vực [s1%],Ranking Harian [s2%] di [s1%],,
,在[s1%]赛区中周榜排名第[s2%],WorldCallPage_WeeklyRankingIn,Ranked [s2%] on Weekly Ranking in Division [s1%],Peringkat # s2% dalam minggu [s1%],เป็นอันดับ [s2%] ในลีดเดอร์บอร์ดประจำอาทิตย์สำหรับภูมิภาค [s1%],Xếp hạng thứ [s2%] trên bảng xếp hạng tuần khu vực [s1%],Ranking Mingguan [s2%] di [s1%],,
,在全球赛区中日榜排名第[s1%],WorldCallPage_GlobalDivisionDaily,Ranked [s1%] on Daily Ranking in Global Division,Peringkat # 1 di peringkat global di peringkat global [s1%],เป็นอันดับ [s1%] ในลีดเดอร์บอร์ดประจำวันทั่วโลก,Xếp hạng thứ [s1%] bảng xếp hạng ngày trên toàn thế giới,Ranking Harian [s1%] di dunia,,
,在全球赛区中周榜排名第[s1%],WorldCallPage_GlobalDivisionWeekly,Ranked [s1%] on Weekly Ranking in  Global Division,Peringkat # s1% di peringkat mingguan di divisi global,เป็นอันดับ [s1%] ในลีดเดอร์บอร์ดประจำอาทิตย์ทั่วโลก,Xếp hạng thứ [s1%] bảng xếp hạng tuần trên toàn thế giới,Ranking Mingguan [s1%] di dunia,,
,在[s1%]游戏中，收益了[s2%]颗钻石,WorldCallPage_WonDiamonds,Won [s2%] Diamonds in the game [s1%],"Dalam [s1%] permainan, dapatkan [s2%] berlian",ได้รับเพชร 2 อันในเกม [s1%],Trong trò chơi [s1%] nhận được [s2%] kim cương ,"Dalam permainan [s1%],mendapat [s2%] berlian",,
,恭喜在竞技PK榜单日榜中获得[s1%]赛区第一名,WorldCallPage_DailyArenaFirst,Congratulations for ranking the first on Daily Arena Ranking in Division [s1%],Selamat mendapatkan tempat pertama [s1%] di daftar kompetisi PK,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับสนามรบในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1 khu vực [s1%] bảng xếp hạng một ngày trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama dalam Ranking Harian Arena PK [s1%],,
,恭喜在竞技PK榜单周榜中获得[s1%]赛区第一名,WorldCallPage_WeeklyArenaFirst,Congratulations for ranking the first on Weekly Arena Ranking in Division [s1%],Selamat mendapatkan tempat pertama dalam kompetisi [s1%] dalam daftar mingguan PK kompetitif,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับสนามรบในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1  khu vực [s1%] bảng xếp hạng một tuần trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama dalam Ranking Mingguan Arena PK [s1%] ,,
,恭喜在竞技PK榜日榜中获得全球第一名,WorldCallPage_DailyArenaGlobalFirst,Congratulations for ranking the first on Daily Arena Ranking in Global Division,Selamat atas memenangkan tempat pertama di dunia dalam daftar PK kompetitif,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับสนามรบทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng ngày trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama sedunia dalam Ranking Harian Arena PK ,,
,恭喜在竞技PK榜周榜中获得全球第一名,WorldCallPage_WeeklyArenaGlobalFirst,Congratulations for ranking the first on Weekly Arena Ranking in Global Division,Selamat atas peringkat pertama di dunia dalam daftar PK kompetitif,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับสนามรบทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng tuần trên bảng xếp hạng đấu PK,Syabas! Mendapat tempat pertama sedunia dalam Ranking Mingguan Arena PK ,,
,恭喜在擂台财富榜日榜中获得[s1%]赛区第一名,WorldCallPage_DailyFortuneFirst,Congratulations for ranking the first on Daily Fortune Ranking in Division [s1%],Selamat atas memenangkan tempat pertama [s1%] di Daftar Keberuntungan Fujian,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับทรัพย์สินในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1 khu vực [s1%] bảng xếp hạng ngày trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama dalam Ranking Harian Kekayaan Arena [s1%],,
,恭喜在擂台财富榜周榜中获得[s1%]赛区第一名,WorldCallPage_WeeklyFortuneFirst,Congratulations for ranking the first on Weekly Fortune Ranking in Division [s1%],Selamat atas memenangkan [s1%] tempat pertama dalam Daftar Fortune Taiwan,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับทรัพย์สินในภูมิภาค [s1%],Chúc mừng bạn giành vị trí thứ 1 khu vực [s1%] bảng xếp hạng tuần trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama dalam Ranking Mingguan Kekayaan Arena [s1%],,
,恭喜在擂台财富榜单日榜中获得全球第一名,WorldCallPage_DailyFortuneGlobalFirst,Congratulations for ranking the first on Daily Fortune Ranking in Global Division,Selamat atas peringkat pertama di dunia dalam daftar Daftar Fortune,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำวันสำหรับทรัพย์สินทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng một ngày trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama sedunia dalam Ranking Harian Kekayaan Arena,,
,恭喜在擂台财富榜单周榜中获得全球第一名,WorldCallPage_WeeklyFortuneGlobalFirst,Congratulations for ranking the first on Weekly Fortune Ranking in Global Division ,Selamat atas memenangkan tempat pertama di dunia dalam daftar Daftar Fortune Taiwan,ขอแสดงความยินดีด้วย คุณได้ชนะอันดับ 1 ของลีดเดอร์บอร์ดประจำอาทิตย์สำหรับทรัพย์สินทั่วโลก,Chúc mừng giành vị trí thứ 1 toàn thế giới bảng xếp hạng một tuần trên bảng xếp hạng của cải đấu trường,Syabas! Mendapat tempat pertama sedunia dalam Ranking Mingguan Kekayaan Arena,,
,世界喊话,WorldCallPage_WorldChannel,World Channel,Teriakan dunia,ส่งข้อความในช่องทางทั่วโลก,Kênh chat thế giới,Panggilan Dunia,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图
日常任务,奖励：s%金币,TaskPage_Reward,Reward: s% Gold Coins,Hadiah: s% koin emas,โบนัส ： เหรียญทอง s% อัน,Thưởng: s% tiền xu vàng,Hadiah: s% Syiling Emas,
,领取,TaskPage_Receive,Receive,Terima,รับ,Nhận,Mendapat,
,进行中,TaskPage_Ongoing,Ongoing,Sedang berlangsung,กำลังดำเนินการอยู่,Đang xử lý,Sedang Uruskan,
,已领取,TaskPage_Received,Received,Diterima,รับแล้ว,Đã nhận,Sudah Mendapat,
,日常任务,TaskPage_Task,Daily Tasks,Tugas harian,ภารกิจประจำวัน,Nhiệm vụ hàng ngày,Tugas Harian,
,成功邀请s%个好友,TaskPage_Invite,Invite s% friends,Berhasil mengundang% teman,ได้เชิญชวนเพื่อนที่มาใช้งานใหม่ s% คน,Mời thành công s% bạn,Berjaya jemput s% orang kawan,
,玩s%局1v1PK游戏,TaskPage_PVP,Play s% 1V1 PVP games,Mainkan permainan% bureau 1v1PK,ได้เล่มเกม 1v1 s% เกม,Chơi s% ván trò chơi PK1v1,Main Permainan PK 1v1 s% kali ,
,玩s%局单人游戏,TaskPage_Single,Play s% single-player games,Mainkan% papan permainan pemain tunggal,ได้เล่มเกมคนเดียว s% เกม,Chơi s% ván trò chơi một người,Main Permainan Seseorang s% kali ,
,玩s%局付费场游戏,TaskPage_PaidGames,Play s% paid games,Mainkan game bayar per tampilan% bi,ได้เล่มเกมที่ต้องชำระเงิน s% เกม,Chơi s% ván trò chơi mất phí,Main Permainan Berbayar s% kali,
,成功添加s%个好友,TaskPage_AddNewFriends,Add s% new friends,Berhasil menambahkan% teman,ได้เพิ่มเติมผู้ติดต่อ s% คน,Thêm s% bạn thành công,Berjaya tambah  s% orang kawan,
,世界喊话发送s%条弹幕,TaskPage_WorldChannelPost,Post s% on-screen comments on World Channel,Teriakan dunia mengirim% sambaran,ได้ส่งข้อความ Bullet Screen s% ข้อในช่องทางทั่วโลก,Kênh chat thế giới gửi s% bình luận trên màn hình,Kirim  s% mesej dalam Panggilan Dunia,
,玩1v1PK游戏胜利s%局,TaskPage_WinGame,Win s% games in 1V1 PVP,Mainkan game 1v1PK memenangkan% game,ได้ชนะเกม 1v1 s% เกม,Chơi trò chơi PK1v1 thắng s% ván,Menang s% kali dalam Permainan PK 1v1 ,
,和s%个好友玩1v1PK游戏,TaskPage_PlayWithFriends,Play the 1V1 PVP game with s% friends,Mainkan game 1v1PK dengan s% teman,ได้เล่มเกม 1v1 กับเพื่อน s% คน,Chơi trò chơi PK1v1 với s% bạn bè,Main Permainan PK 1v1 dengan s% orang kawan,
,和成功邀请的好友玩s%局1v1PK游戏,TaskPage_PlayWithFriendsInvited,Play s% 1V1 PVP games with a friend you've invited,Mainkan game biro 1v1PK dengan teman-teman yang diundang sukses,ได้เล่มเกม 1v1 s% เกมกับเพื่อนที่คุณชวนมาใช้งานแอพ,Chơi s% ván trò chơi PK 1v1 với bạn bè đã mời thành công,Main Permainan PK 1v1 dengan s% orang kawan yang kamu jemput,
,充值s%次,TaskPage_Recharge,Recharge s% times,Isi ulang s% kali,เติมเงิน s% ครั้ง,Nạp tiền s% lần,Isi wang  s% kali ,
签到,每日签到奖励,CheckInPage_DailyCheckIn,Daily Check-in Rewards,Hadiah check-in harian,โบนัสสำหรับรายงานตัวประจำวัน,Thưởng báo danh mỗi ngày,Hadiah Kedatangan Harian,
,第一天,CheckInPage_Day1,Day 1,Hari pertama,วันที่ 1,Ngày thứ nhất,Hari Pertama,
,第二天,CheckInPage_Day2,Day 2,Keesokan harinya,วันที่ 2,Ngày thứ hai,Hari Kedua,
,第三天,CheckInPage_Day3,Day 3,Hari ketiga,วันที่ 3,Ngày thứ ba,Hari Ketiga,
,第四天,CheckInPage_Day4,Day 4,Hari keempat,วันที่ 4,Ngày thứ tư,Hari Keempat,
,第五天,CheckInPage_Day5,Day 5,Hari kelima,วันที่ 5,Ngày thứ năm,Hari Kelima,
,第六天,CheckInPage_Day6,Day 6,Hari keenam,วันที่ 6 ,Ngày thứ sáu,Hari Keenam,
,第七天,CheckInPage_Day7,Day 7,Hari ketujuh,วันที่ 7,Ngày thứ bảy,Hari Ketujuh,
,领取奖励,CheckInPage_Receive,Receive Rewards,Terima hadiah,รับโบนัส,Nhận thưởng,Mendapat hadiah,
,已领取,CheckInPage_Received,Received,Diterima,รับแล้ว,Đã nhận,Sudah mendapat,
,每周签到领好礼,CheckInPage_WeeklyCheckinGetRewards,Get rewards with Weekly Check-in,Pendaftaran mingguan dapat hadiah,ของขวัญสำหรับรายงานตัวประจำอาทิตย์,Báo danh mỗi tuần nhận hào lễ,Datang setiap minggu untuk dapat hadiah,
领取奖励蒙层,奖励s%金币,ReceiveRewardsDialog_GetGoldCoins,Get 20 Gold Coins,Beri imbalan koin emas%,แจกโบนัสเหรียญทอง s% อัน,Thưởng s% tiền xu vàng,Hadiahkan s% syiling emas,
,确定,ReceiveRewardsDialog_OK,OK,Tentukan,ยืนยัน,Xác nhận,Pasti,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,,,,,
随机匹配,当前金币数不足，快去完成任务赚取金币吧~,RandowMatchPage_GoldNotEnough,You don't have enough Gold Coins. Complete the tasks and get some~,"Jumlah koin emas saat ini tidak mencukupi, pergilah untuk menyelesaikan tugas dan mendapatkan koin emas ~",ตอนนี้คุณมีเหรียญทองไม่เพียงพอ รีปไปทำภารกิจให้สมบูรณ์และรับเหรียญทองฟรีเถอะ,"Số tiền xu vàng hiện tại không đủ, mau đi hoàn thành nhiệm vụ kiếm tiền xu vàng nhé~","Syiling emas tidak cukup, cepat membuat tugas untuk mendapat syiling emas",,,,,,
,先不玩了,RandowMatchPage_Quit,Quit,Jangan bermain dulu,ไม่เล่นแล้ว,Tạm thời dừng chơi,Berhenti,,,,,,
,做任务,RandowMatchPage_Task,Tasks,Lakukan tugasnya,ทำภารกิจ,Làm nhiệm vụ,Membuat tugas,,,,,,
,正在匹配,RandowMatchPage_Matching,Matching,Cocok,กำลังจับคู่อยู่,Đang tìm kiếm,Sedang mencari pemain sesuai,,,,,,
,已等待t%秒,RandowMatchPage_WaitingTime,You have been waiting for t% seconds,Telah menunggu t% detik,คอยรอ t% นาทีแล้ว,Đã đợi t% giây,Sudah tunggu t% saat,,,,,,
,正在为你匹配一起玩「s%」的人,RandowMatchPage_MatchingPlayers,Matching players to play 「s%」,"Orang-orang yang memainkan ""s%"" untuk Anda",กำลังจับคู่เกม 「s%」ให้คุณอยู่,Đang tìm kiếm người cùng chơi「s%」với bạn,Sedang mencari pemain「s%」yang sesuai,,,,,,
,匹配成功,RandowMatchPage_Matched,Matched,Pencocokan berhasil,การจับคู่สำเร็จ,Tìm kiếm thành công,Berjaya mencari yang sesuai,,,,,,
,游戏加载中s%,RandowMatchPage_GameLoading,Game Loading s%,Game memuat%,กำลังโหลดเกมอยู่ s%,Đang tải trò chơi s%,Permainan sedang berjalan s%,,,,,,
,退出本局记为认输，是否退出？,RandowMatchPage_QuitDefeat,"If you quit the game you will be seem as admitting your defeat, are you sure you want to quit?","Penarikan dari Dewan ini dicatat sebagai mengaku kalah, apakah itu berhenti?",หากคุณออกจากเกมนี้ จะถือว่าคุณแพ้ ยืนยันจะออกจากเกมหรือไม่,"Thoát ván này sẽ được coi nhận thua, có muốn thoát không?","Dianggap kalah jika keluar, masih ingin keluar?",,,,,,
,继续玩,RandowMatchPage_Continue,Continue,Terus main,เล่นเกมต่อไป,Tiếp tục chơi,Terus main,,,,,,
,认输退出,RandowMatchPage_DefeatAndQuit,Admit defeat and quit,Akui kekalahan,ยอมแพ้และออกจากเกม,Nhận thua để thoát,Akui kalah dan keluar,,,,,,
PK-游戏页面,今日胜点,PKGamePage_DailyWinningPoints,Daily Winning Points,Kemenangan hari ini,อัตราการชนะของวันนี้,Số điểm thắng hôm nay,Titik Kemenangan Hari Ini,,,,,,
,今日排名,PKGamePage_DailyWinningPointsRanking,Daily Ranking,Peringkat hari ini,อับดับของวันนี้,Xếp hạng hôm nay,Ranking Hari ini,,,,,,
,查看达人排行榜,PKGamePage_CheckTopRanking,Check Top Ranking,Lihat hingga papan peringkat,ตรวจสอบลีดเดอร์บอร์ดแทเลินต์,Xem bảng xếp hạng người chơi xuất sắc,Tengok Senarai Ranking Pemain Hebat,,,,,,
,入场要求,PKGamePage_Requirement,Requirement,Persyaratan Pendaftaran,เงื่อนไขสำหรับการเข้าร่วมเกม,Yêu cầu vào trận,Syarat Kemasukan,,,,,,
,开始匹配,PKGamePage_StartMatching,Start Matching,Mulai cocok,เริ่มจับคู่,Bắt đầu tìm kiếm,Mulai mencari pemain yang sesuai,,,,,,
游戏结束页,胜利,GameOverDialog_Victory,Victory,Kemenangan,ชนะ,Thắng,Menang,,,,,,
,失败,GameOverDialog_Defeat,Defeat,Kegagalan,ล้มเหลว,Thua,Kalah,,,,,,
,平局,GameOverDialog_Draw,Draw,Draw,เสมอตัว,Hòa,Seri,,,,,,
,当前胜点值,GameOverDialog_CurrentWinningPoints,Current Winning Points,Nilai kemenangan saat ini,อัตราการชนะปัจจุบัน,Giá trị điểm thắng hiện tại,Titik Kemenangan Sekarang,,,,,,
,连胜,GameOverDialog_WinningStreak,Winning Streak,Streak,ชนะอย่างต่อเนื่อง,Thắng liên tục ,Menang berturut-turut,,,,,,
,奖励金币数：s%,GameOverDialog_RewardsGold,Rewards of Gold Coins: s%,Hadiahkan koin emas: s%,เหรียญทองที่ได้รับเป็นโบนัส ：s% อัน,Thưởng số tiền xu vàng: s%,Hadiah Syiling Emas: s%,,,,,,
,换个游戏,GameOverDialog_SwitchGame,Switch Game,Ubah permainan,เปลี่ยนเกมใหม่,Đổi trò chơi,Tukar Permainan,,,,,,
,再来一局,GameOverDialog_PlayAgain,Play Again,Satu lagi game,เล่นเกมนี้ต่ออีกหนึ่งเกม,Tiếp một ván nữa,Main Sekali Lagi,,,,,,
,对方已退出，添加好友再战吧,GameOverDialog_OpponetQuitted,The opponent has quitted. Add the user as your friend to play again,"Pihak lain telah berhenti, tambahkan teman dan bertempur lagi.",อีกหนึ่งฝ่ายออกจากเกมแล้ว เพิ่มเป็นเพื่อนก่อนค่อยเล่นเกมเถอะ,"Đối phương đã thoát, thêm bạn để tiếp tục thi đấu","Pelawan sudah keluar, tambah kawan untuk terus bermain",,,,,,
,添加好友后才能再次约战哦~,GameOverDialog_AddFried,You need to add the user as your friend to play again~,"Setelah kamu menambahkan teman, kamu bisa bertarung lagi ~",คุณต้องเพิ่มอีกหนึ่งฝ่ายเป็นเพื่อนก่อนถึงจะนัดเล่นเกมด้วยได้นะ,Sau khi thêm bạn mới có thể tiếp tục thi đấu~,Tambah kawan baru boleh bermain lagi.,,,,,,
,对方想换个游戏,GameOverDialog_OpponetSwitchGame,The opponent wants to switch the game,Pihak lain ingin mengubah permainan,อีกหนึ่งฝ่ายอยากเปลี่ยนเกมใหม่,Đối phương muốn đổi trò chơi,Pelawan ingin tukar permainan,,,,,,
,等待对方,GameOverDialog_WaitOpponent,Wait for the opponent,Menunggu satu sama lain,รออีกหนึ่งฝ่ายอยู่,Đợi đối phương,Tunggu pelawan,,,,,,
,对方已准备好，点击再战,GameOverDialog_IsReady,The opponent is ready. Tap to play again,Pihak lain siap untuk mengklik dan bertarung lagi,อีกหนึ่งฝ่ายพร้อมแล้ว คลิกและเริ่มเกมใหม่,"Đối phương đã chuẩn bị xong, nhấp vào tiếp tục thi đấu","Pelawan sudah sedia, tekan untuk terus bermain.",,,,,,
达人排行榜,今日胜点值,GameRankingPage_DailyWinningPoints,Daily Winning Points,Kemenangan hari ini,อัตราการชนะของวันนี้,Giá trị điểm thắng hôm nay,Titik Kemenangan Hari Ini,,,,,,
,本周胜点值,GameRankingPage_WeeklyWinningPoints,Weekly Winning Points,Nilai poin kemenangan minggu ini,อัตราการชนะของอาทิตย์นี้,Giá trị điểm thắng tuần này,Titik Kemenangan Minggu Ini,,,,,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,
高端擂台场列表,高端擂台场,TopArenaGamePage_TopArena,Top Arena,Platform canggih,เกมในสนามรบชั้นสูง,Đấu trường cấp cao,Arena PK Bertaraf Tinggi,,
,24小时全球擂台财富榜,TopArenaGamePage_GlobalFortune RankingDaily,Global Fortune Ranking in 24 Hours,Platform global 24 jam untuk kekayaan,ลีดเดอร์บอร์ดสำหรับทรัพย์สินทั่วโลกใน 24 ชั่วโมงที่แล้ว,Bảng xếp hạng của cải đấu trường toàn thế giới 24h,Ranking Kekayaan Arena Sedunia dalam 24 Jam,,
,本周全球擂台财富榜,TopArenaGamePage_WeeklyGlobalFortuneRanking,Weekly Global Fortune Ranking,Platform keuangan global minggu ini,ลีดเดอร์บอร์ดสำหรับทรัพย์สินที่วโลกของอาทิตย์นี้,Bảng xếp hạng của cải đấu trường toàn thế giới tuần này,Ranking Kekayaan Arena Sedunia Minggu Ini,,
,敬请期待,TopArenaGamePage_ComingSoon,Coming Soon,Tetap disini,คอยติดตามเรา,Vui lòng đợi,Datang nanti,,
付费场游戏页面,今日收益,FortuneGamePage_DailyEarnings,Daily Earnings,Penghasilan hari ini,รายได้ของวันนี้,Thu hoạch hôm nay,Keuntungan Hari Ini,,
,今日排名,FortuneGamePage_DailyRanking,Daily Ranking,Peringkat hari ini,อับดับของวันนี้,Xếp hạng hôm nay,Ranking Hari Ini,,
,当前账户上钻石数不足，请尝试用金币兑换或直接充值,FortuneGamePage_DiamondsNotEnough,You don't have enough Diamonds on your account. Exchange some with the Gold Coins or recharge,Tidak ada cukup berlian di akun saat ini. Cobalah untuk menebus atau langsung mengisi ulang koin.,บัญชีคุณมีเพชรไม่เพียงพอ กรุณาแลกเพชรด้วยเหรียญทองหรือชำระเงินโดยตรง,"Số kim cương tài khoản hiện tại không đủ, vui lòng thử dùng tiền vàng đổi hoặc nạp tiền trực tiếp",Berlian tidak cukup，sila tukar dengan syiling emas atau terus isi wang,,
,不玩了,FortuneGamePage_Quit,Quit,Tidak bermain,ไม่เล่นแล้ว,Không chơi nữa,Berhenti,,
,去充值,FortuneGamePage_Recharge,Recharge,Isi ulang,ไปเติมเงิน,Đi nạp tiền,Isi wang sekarang,,
,进入该游戏需要消费s%颗钻石，确认消费？,FortuneGamePage_ConfirmDialog,It costs s% Diamonds to start the game. Are you sure you want to spend the Diamonds?,Memasuki permainan membutuhkan pengeluaran% berlian untuk mengkonfirmasi konsumsi?,คุณจะต้องชำระเพชร s% อันเพื่อเข้าเกมนี้ ยืนยันจะชำระเพชรไหม,"Tham gia trò chơi này cần dùng s% kim cương, chắc chắn sử dụng?","Perlu bayar s% berlian untuk main permainan ini,sah bayar?",,
,不再提示,FortuneGamePage_NotRemindAgain,Don't remind me again,Tidak lagi diminta,ไม่ต้องแจ้งอีกต่อไป,Không hiển thị lại,Jangan ingatkan lagi,,
,确认,FortuneGamePage_Ok,OK,Konfirmasikan,ยืนยัน,Xác nhận,Sahkan,,
达人排行榜,今日收益,FortuneRanking_DailyEarnings,Daily Earnings,Penghasilan hari ini,รายได้ของวันนี้,Thu hoạch hôm nay,Keuntungan Hari Ini,,
,本周收益,FortuneRanking_WeeklyEarnings,Weekly Earnings,Penghasilan minggu ini,รายได้ของอาทิตย์นี้,Thu hoạch tuần này,Keuntungan Minggu Ini,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,,,
消息列表,消息,MessageList_,Messages,Pesan,ข้อความ,Tin nhắn,Mesej,,,,
,好友,MessageList_,Friends,Teman,เพื่อน,Bạn bè,Kawan,,,,
,没有网络连接,MessageList_NetworkDisconnected,Network disconnected,Tidak ada koneksi internet,ไม่มีการเชื่อมต่ออินเทอร์เน็ต,Không kết nối mạng,Interneti tidak dihubungi,,,,
,开启通知，不要错过好友的约战和消息哦,MessageList_NotificationTips,Enable notification and don't miss invitations and messages from your friends,"Aktifkan pemberitahuan, jangan lewatkan janji dan berita teman Anda.",เปิดใช้งานข้อความแจ้งเตือน คุณจะไม่พลาดข้อความและการนัดเล่นเกมของเพื่อน,"Mở thông báo, đừng bỏ qua tin nhắn và lời hẹn thi đấu của bạn bè nhé","Aktif Pemberitahuan, jangan lepas permintaan dan mesej kawan",,,,
,立即开启,MessageList_EnableNow,Enable now,Buka sekarang,เปิดใช้งานเดี่ยวนี้,Lập tức mở,Mulai segera,,,,
,删除,MessageList_Delete,Delete,Hapus,ลบ,Xóa,Padam,,,,
,草稿,MessageList_Draft,Draft,Draf,ร่าง,Bản nháp,Draf,,,,
,发起约战,MessageList_Invite,Invite,Mulai pertempuran,นัดเล่นเกมกับเพื่อน,Gửi lời hẹn thi đấu,Meminta bermain,,,,
添加好友,添加好友,AddFriendsPage_AddFriends,Add Friends,Tambahkan teman,เพิ่มผู้ติดต่อ,Thêm bạn bè,Tambah kawan,,,,
,输入好友ID,AddFriendsPage_EnterID,Enter the ID,Masukkan ID teman,ป้อนไอดีของเพื่อน,Nhập ID của bạn bè,Masukkan ID kawan,,,,
,“邀请好友得钻石哟！”,AddFriendsPage_InvitationGetDiamonds,"""Invite friends to get Diamonds!""","""Undang teman untuk mendapatkan berlian!""",“เชิญชวนเพื่อนมาเล่นด้วยและรับเพชรฟรี”,"""Mời kết bạn giành kim cương!""","""Mendapat berlian jika jemput kawan!""",,,,
,好友请求,AddFriendsPage_Request,Request,Permintaan pertemanan,คำขอเป็นเพื่อน,Yêu cầu kết bạn,Permintaan kawan,,,,
,同意,AddFriendsPage_Agree,Agree,Setuju,เห็นด้วย,Đồng ý,Setuju,,,,
